Alg,Length,Time
Scalar,10,1.0e-7
Scalar,10,1.0e-7
Scalar,10,1.0e-7
Scalar,10,1.0e-7
Scalar,10,0.0
Scalar,10,1.0e-7
Scalar,10,1.0e-7
Scalar,10,1.0e-7
Scalar,10,1.0e-7
Scalar,10,1.0e-7
Scalar,35,1.0e-7
Scalar,35,1.0e-7
Scalar,35,1.0e-7
Scalar,35,2.0e-7
Scalar,35,1.0e-7
Scalar,35,1.0e-7
Scalar,35,1.0e-7
Scalar,35,1.0e-7
Scalar,35,1.0e-7
Scalar,35,2.0e-7
Scalar,60,2.0e-7
Scalar,60,1.0e-7
Scalar,60,1.0e-7
Scalar,60,1.0e-7
Scalar,60,1.0e-7
Scalar,60,1.0e-7
Scalar,60,1.0e-7
Scalar,60,1.0e-7
Scalar,60,1.0e-7
Scalar,60,1.0e-7
Scalar,85,1.0e-7
Scalar,85,1.0e-7
Scalar,85,1.0e-7
Scalar,85,1.0e-7
Scalar,85,1.0e-7
Scalar,85,2.0e-7
Scalar,85,2.0e-7
Scalar,85,1.0e-7
Scalar,85,1.0e-7
Scalar,85,1.0e-7
Scalar,110,2.0e-7
Scalar,110,2.0e-7
Scalar,110,1.0e-7
Scalar,110,2.0e-7
Scalar,110,1.0e-7
Scalar,110,2.0e-7
Scalar,110,2.0e-7
Scalar,110,1.0e-7
Scalar,110,2.0e-7
Scalar,110,2.0e-7
Scalar,135,2.0e-7
Scalar,135,2.0e-7
Scalar,135,3.0e-7
Scalar,135,2.0e-7
Scalar,135,2.0e-7
Scalar,135,1.0e-7
Scalar,135,2.0e-7
Scalar,135,2.0e-7
Scalar,135,2.0e-7
Scalar,135,1.0e-7
Scalar,160,2.0e-7
Scalar,160,2.0e-7
Scalar,160,2.0e-7
Scalar,160,2.0e-7
Scalar,160,2.0e-7
Scalar,160,2.0e-7
Scalar,160,2.0e-7
Scalar,160,2.0e-7
Scalar,160,2.0e-7
Scalar,160,2.0e-7
Scalar,185,3.0e-7
Scalar,185,2.0e-7
Scalar,185,2.0e-7
Scalar,185,2.0e-7
Scalar,185,1.0e-7
Scalar,185,3.0e-7
Scalar,185,2.0e-7
Scalar,185,2.0e-7
Scalar,185,3.0e-7
Scalar,185,2.0e-7
Scalar,210,2.0e-7
Scalar,210,2.0e-7
Scalar,210,2.0e-7
Scalar,210,2.0e-7
Scalar,210,3.0e-7
Scalar,210,3.0e-7
Scalar,210,3.0e-7
Scalar,210,3.0e-7
Scalar,210,3.0e-7
Scalar,210,3.0e-7
Scalar,235,3.0e-7
Scalar,235,3.0e-7
Scalar,235,2.0e-7
Scalar,235,2.0e-7
Scalar,235,3.0e-7
Scalar,235,2.0e-7
Scalar,235,3.0e-7
Scalar,235,3.0e-7
Scalar,235,3.0e-7
Scalar,235,2.0e-7
Scalar,260,2.0e-7
Scalar,260,2.0e-7
Scalar,260,3.0e-7
Scalar,260,2.0e-7
Scalar,260,3.0e-7
Scalar,260,2.0e-7
Scalar,260,2.0e-7
Scalar,260,3.0e-7
Scalar,260,3.0e-7
Scalar,260,3.0e-7
Scalar,285,3.0e-7
Scalar,285,3.0e-7
Scalar,285,3.0e-7
Scalar,285,3.0e-7
Scalar,285,2.0e-7
Scalar,285,3.0e-7
Scalar,285,3.0e-7
Scalar,285,3.0e-7
Scalar,285,3.0e-7
Scalar,285,4.0e-7
Scalar,310,3.0e-7
Scalar,310,2.0e-7
Scalar,310,3.0e-7
Scalar,310,4.0e-7
Scalar,310,3.0e-7
Scalar,310,3.0e-7
Scalar,310,2.0e-7
Scalar,310,3.0e-7
Scalar,310,2.0e-7
Scalar,310,2.0e-7
Scalar,335,3.0e-7
Scalar,335,3.0e-7
Scalar,335,4.0e-7
Scalar,335,3.0e-7
Scalar,335,3.0e-7
Scalar,335,3.0e-7
Scalar,335,3.0e-7
Scalar,335,3.0e-7
Scalar,335,3.0e-7
Scalar,335,3.0e-7
Scalar,360,4.0e-7
Scalar,360,3.0e-7
Scalar,360,4.0e-7
Scalar,360,3.0e-7
Scalar,360,3.0e-7
Scalar,360,4.0e-7
Scalar,360,3.0e-7
Scalar,360,3.0e-7
Scalar,360,3.0e-7
Scalar,360,3.0e-7
Scalar,385,3.0e-7
Scalar,385,4.0e-7
Scalar,385,4.0e-7
Scalar,385,4.0e-7
Scalar,385,3.0e-7
Scalar,385,3.0e-7
Scalar,385,3.0e-7
Scalar,385,3.0e-7
Scalar,385,3.0e-7
Scalar,385,3.0e-7
Scalar,410,4.0e-7
Scalar,410,3.0e-7
Scalar,410,4.0e-7
Scalar,410,4.0e-7
Scalar,410,3.0e-7
Scalar,410,3.0e-7
Scalar,410,4.0e-7
Scalar,410,4.0e-7
Scalar,410,4.0e-7
Scalar,410,3.0e-7
Scalar,435,4.0e-7
Scalar,435,4.0e-7
Scalar,435,4.0e-7
Scalar,435,4.0e-7
Scalar,435,4.0e-7
Scalar,435,3.0e-7
Scalar,435,4.0e-7
Scalar,435,4.0e-7
Scalar,435,4.0e-7
Scalar,435,3.0e-7
Scalar,460,3.0e-7
Scalar,460,4.0e-7
Scalar,460,4.0e-7
Scalar,460,4.0e-7
Scalar,460,4.0e-7
Scalar,460,4.0e-7
Scalar,460,4.0e-7
Scalar,460,4.0e-7
Scalar,460,3.0e-7
Scalar,460,4.0e-7
Scalar,485,5.0e-7
Scalar,485,4.0e-7
Scalar,485,4.0e-7
Scalar,485,4.0e-7
Scalar,485,4.0e-7
Scalar,485,4.0e-7
Scalar,485,4.0e-7
Scalar,485,5.0e-7
Scalar,485,4.0e-7
Scalar,485,4.0e-7
Matrix,10,1.0e-7
Matrix,10,2.0e-7
Matrix,10,2.0e-7
Matrix,10,2.0e-7
Matrix,10,2.0e-7
Matrix,10,1.0e-7
Matrix,10,2.0e-7
Matrix,10,8.0e-7
Matrix,10,2.0e-7
Matrix,10,6.0e-7
Matrix,35,8.0e-7
Matrix,35,8.0e-7
Matrix,35,8.0e-7
Matrix,35,7.0e-7
Matrix,35,7.0e-7
Matrix,35,8.0e-7
Matrix,35,8.0e-7
Matrix,35,8.0e-7
Matrix,35,8.0e-7
Matrix,35,8.0e-7
Matrix,60,2.1e-6
Matrix,60,2.0e-6
Matrix,60,2.1e-6
Matrix,60,1.9e-6
Matrix,60,2.0e-6
Matrix,60,2.0e-6
Matrix,60,2.0e-6
Matrix,60,2.0e-6
Matrix,60,2.0e-6
Matrix,60,2.2e-6
Matrix,85,3.7e-6
Matrix,85,4.0e-6
Matrix,85,4.0e-6
Matrix,85,4.0e-6
Matrix,85,4.0e-6
Matrix,85,4.0e-6
Matrix,85,3.9e-6
Matrix,85,4.2e-6
Matrix,85,5.7e-6
Matrix,85,3.8e-6
Matrix,110,6.3e-6
Matrix,110,6.3e-6
Matrix,110,6.6e-6
Matrix,110,7.0e-6
Matrix,110,6.3e-6
Matrix,110,6.5e-6
Matrix,110,6.3e-6
Matrix,110,6.9e-6
Matrix,110,6.3e-6
Matrix,110,6.3e-6
Matrix,135,9.4e-6
Matrix,135,9.3e-6
Matrix,135,9.4e-6
Matrix,135,9.7e-6
Matrix,135,1.78e-5
Matrix,135,1.8e-5
Matrix,135,1.2e-5
Matrix,135,9.8e-6
Matrix,135,1.02e-5
Matrix,135,9.9e-6
Matrix,160,1.77e-5
Matrix,160,1.27e-5
Matrix,160,1.53e-5
Matrix,160,1.24e-5
Matrix,160,1.28e-5
Matrix,160,1.25e-5
Matrix,160,1.27e-5
Matrix,160,1.26e-5
Matrix,160,1.36e-5
Matrix,160,1.25e-5
Matrix,185,1.8e-5
Matrix,185,1.84e-5
Matrix,185,1.82e-5
Matrix,185,1.81e-5
Matrix,185,1.89e-5
Matrix,185,1.81e-5
Matrix,185,1.81e-5
Matrix,185,1.8e-5
Matrix,185,1.87e-5
Matrix,185,1.98e-5
Matrix,210,2.36e-5
Matrix,210,3.52e-5
Matrix,210,3.04e-5
Matrix,210,4.43e-5
Matrix,210,3.23e-5
Matrix,210,3.98e-5
Matrix,210,2.76e-5
Matrix,210,2.35e-5
Matrix,210,2.3e-5
Matrix,210,2.28e-5
Matrix,235,3.38e-5
Matrix,235,3.01e-5
Matrix,235,4.02e-5
Matrix,235,3.21e-5
Matrix,235,4.72e-5
Matrix,235,4.02e-5
Matrix,235,4.75e-5
Matrix,235,4.52e-5
Matrix,235,3.7e-5
Matrix,235,3.1e-5
Matrix,260,3.46e-5
Matrix,260,4.43e-5
Matrix,260,4.48e-5
Matrix,260,5.24e-5
Matrix,260,4.22e-5
Matrix,260,4.14e-5
Matrix,260,4.14e-5
Matrix,260,3.77e-5
Matrix,260,3.37e-5
Matrix,260,3.36e-5
Matrix,285,5.04e-5
Matrix,285,4.87e-5
Matrix,285,4.97e-5
Matrix,285,5.15e-5
Matrix,285,6.29e-5
Matrix,285,6.3e-5
Matrix,285,4.87e-5
Matrix,285,5.08e-5
Matrix,285,6.8e-5
Matrix,285,5.52e-5
Matrix,310,5.15e-5
Matrix,310,7.0e-5
Matrix,310,6.2e-5
Matrix,310,6.31e-5
Matrix,310,6.14e-5
Matrix,310,5.96e-5
Matrix,310,9.42e-5
Matrix,310,5.69e-5
Matrix,310,7.22e-5
Matrix,310,6.95e-5
Matrix,335,7.62e-5
Matrix,335,6.0e-5
Matrix,335,6.0e-5
Matrix,335,5.91e-5
Matrix,335,5.95e-5
Matrix,335,5.93e-5
Matrix,335,6.55e-5
Matrix,335,6.0e-5
Matrix,335,5.99e-5
Matrix,335,5.99e-5
Matrix,360,7.68e-5
Matrix,360,6.7e-5
Matrix,360,6.62e-5
Matrix,360,6.72e-5
Matrix,360,6.6e-5
Matrix,360,6.97e-5
Matrix,360,8.23e-5
Matrix,360,6.6e-5
Matrix,360,6.78e-5
Matrix,360,0.0001052
Matrix,385,0.0001255
Matrix,385,7.59e-5
Matrix,385,7.7e-5
Matrix,385,0.0001118
Matrix,385,0.0001577
Matrix,385,0.0002346
Matrix,385,7.8e-5
Matrix,385,7.66e-5
Matrix,385,7.59e-5
Matrix,385,7.61e-5
Matrix,410,0.0003
Matrix,410,8.38e-5
Matrix,410,0.0001
Matrix,410,8.61e-5
Matrix,410,8.79e-5
Matrix,410,8.72e-5
Matrix,410,9.02e-5
Matrix,410,8.77e-5
Matrix,410,9.67e-5
Matrix,410,9.66e-5
Matrix,435,9.78e-5
Matrix,435,9.74e-5
Matrix,435,0.000118
Matrix,435,9.71e-5
Matrix,435,0.0001078
Matrix,435,0.000109
Matrix,435,9.69e-5
Matrix,435,0.0001109
Matrix,435,9.79e-5
Matrix,435,9.75e-5
Matrix,460,0.0001137
Matrix,460,0.0001083
Matrix,460,0.0001373
Matrix,460,0.0001386
Matrix,460,0.0001338
Matrix,460,0.0001436
Matrix,460,0.0002571
Matrix,460,0.0001635
Matrix,460,0.0001685
Matrix,460,0.0001303
Matrix,485,0.0001169
Matrix,485,0.0001246
Matrix,485,0.0001292
Matrix,485,0.0001293
Matrix,485,0.000155
Matrix,485,0.0001319
Matrix,485,0.0001412
Matrix,485,0.0001337
Matrix,485,0.0001557
Matrix,485,0.0001462
